id,name,code,slug,status,created,modified,provider_id,latency,cost,inference,realtime_sts
142,Orus,Orus,Orus,t,2025-12-23 06:11:58.415196+00,2026-02-04 12:12:43.237941+00,47,,0.00,f,t
141,Aoede,Aoede,Aoede,t,2025-12-23 06:11:27.252624+00,2026-02-04 12:13:10.757759+00,47,,0.00,f,t
149,Erinome,Erinome,Erinome,t,2025-12-23 06:27:04.679896+00,2026-02-04 12:13:50.015218+00,47,,0.00,f,t
148,Alnilam,Alnilam,Alnilam,t,2025-12-23 06:16:00.69564+00,2026-02-04 12:37:29.809222+00,47,,0.00,f,t
80,Neha,Neha,Neha,f,2025-08-20 09:26:32.626709+00,2026-02-06 05:12:03.293471+00,37,,0.00,f,f
154,Rasalgethi,Rasalgethi,Rasalgethi,f,2025-12-23 06:31:02.134849+00,2025-12-29 10:25:45.1049+00,,,0.00,f,f
108,Sage,sage,sage,t,2025-11-06 21:29:38.477524+00,2026-02-07 07:35:59.87624+00,7,,0.00,f,t
158,Vidya,vidya,Vidya,t,2025-12-24 07:38:56.301543+00,2026-01-12 07:47:18.711966+00,20,,0.00,f,f
159,Hitesh,hitesh,Hitesh,t,2025-12-24 07:39:21.238249+00,2026-01-12 07:47:29.319112+00,20,,0.00,f,f
161,celeste,celeste,celeste,t,2025-12-26 05:04:11.013714+00,2025-12-26 05:04:11.013771+00,60,,0.00,t,f
160,Anika(11L),Sm1seazb4gs7RSlUVw7c,Anika-11L,t,2025-12-26 04:52:06.36307+00,2026-01-22 13:40:39.464984+00,34,,0.00,f,f
114,Anika,5c32dce6-936a-4892-b131-bafe474afe5f,Anika,t,2025-12-20 12:47:20.88357+00,2026-01-19 15:24:48.268775+00,42,,0.00,t,f
164,Sweetie,gh4KqQpuToGmra4sU2FJ,sweetie,t,2026-01-22 07:06:58.097487+00,2026-01-22 13:40:26.565266+00,34,,0.00,f,f
163,Riya Rao,mActWQg9kibLro6Z2ouY,riya-rao,t,2026-01-22 07:00:57.915195+00,2026-01-22 13:40:32.504229+00,34,,0.00,f,f
165,Zara,MmQVkVZnQ0dUbfWzcW6f,zara,t,2026-01-27 11:06:09.018262+00,2026-01-27 11:07:19.57398+00,34,,0.00,f,f
166,Riya,Riya,Riya-inworld,t,2026-01-29 13:43:35.180039+00,2026-01-29 16:53:55.069793+00,37,,0.00,t,f
167,Sindhu,07bc462a-c644-49f1-baf7-82d5599131be,sindhu,t,2026-01-29 13:48:04.573639+00,2026-01-30 13:06:39.481318+00,42,,0.00,f,f
170,Umbriel,Umbriel,Umbriel,t,2026-02-04 09:24:13.401893+00,2026-02-04 09:24:13.401899+00,47,,0.00,f,t
171,Resalgethi,Resalgethi,Resalgethi,t,2026-02-04 09:27:42.706877+00,2026-02-04 09:27:42.706882+00,47,,0.00,f,t
174,Pulcherrima,Pulcherrima,Pulcherrima,t,2026-02-04 09:31:34.143145+00,2026-02-04 09:31:34.143152+00,47,,0.00,f,t
177,Vindemlatrix,Vindemlatrix,Vindemlatrix,t,2026-02-04 09:33:47.365705+00,2026-02-04 09:33:47.365711+00,47,,0.00,f,t
179,Sadaltager,Sadaltager,Sadaltager,t,2026-02-04 09:34:58.024337+00,2026-02-04 09:34:58.024344+00,47,,0.00,f,t
180,Sulafat,Sulafat,Sulafat,t,2026-02-04 09:35:37.076831+00,2026-02-04 09:35:37.076837+00,47,,0.00,f,t
173,Schedar,Schedar,Schedar,t,2026-02-04 09:30:21.175634+00,2026-02-04 12:37:42.299912+00,47,,0.00,f,t
175,Achird,Achird,Achird,t,2026-02-04 09:32:18.686807+00,2026-02-04 12:41:31.263287+00,47,,0.00,f,t
176,Zubenelgenibi,Zubenelgenibi,Zubenelgenibi,t,2026-02-04 09:33:10.826054+00,2026-02-04 12:41:49.817216+00,47,,0.00,f,t
178,Sadachbia,Sadachbia,Sadachbia,t,2026-02-04 09:34:25.698613+00,2026-02-04 12:42:21.355973+00,47,,0.00,f,t
168,Neha-IN-World,default-ac-38pnclqn1nw8l7ztu4q__neha,default-ac-38pnclqn1nw8l7ztu4q__neha,t,2026-01-29 19:37:24.658867+00,2026-02-05 21:30:21.576062+00,37,,0.00,f,f
169,Neha,8404ab40-c547-4eff-bfea-526621676fe4,Neha-Cartesia,t,2026-01-30 13:46:24.851145+00,2026-02-06 05:12:03.29153+00,42,,0.00,f,f
172,Achernar,Achernar,Achernar,t,2026-02-04 09:29:07.472506+00,2026-02-06 07:25:54.840712+00,47,,0.00,f,t
4,Onyx,onyx,onyx,f,2025-07-05 09:47:43.670487+00,2025-12-22 05:13:04.091627+00,,,0.00,f,f
181,Marin,marin,marin,t,2026-02-07 06:54:48.80922+00,2026-02-07 06:56:51.386064+00,7,,0.00,f,t
182,cedar,cedar,cedar,t,2026-02-07 06:57:27.735857+00,2026-02-07 06:57:27.735902+00,7,,0.00,f,t
