id,created,modified,created_by,updated_by,name,description,url,slug,logo,token_limit,config,provider_id,tool_calling,inference,sort_order,status,realtime_sts,codename,cost
427,2025-12-24 07:11:29.425232+00,2026-01-23 20:04:29.047544+00,,,grok-2-voice,"","",grok-2-voice,"",,{},56,f,f,0,inactive,t,grok-2-voice,0.0000
432,2025-12-29 05:59:33.602019+00,2026-01-23 20:16:19.906473+00,,,llama-3.3-70b-versatile,"","",llama-33-70b-versatile,"",,{},10,f,f,0,inactive,f,llama-3.3-70b-versatile,0.0000
436,2026-01-23 11:34:34.420865+00,2026-01-29 10:47:29.576318+00,,,inworld-tts-1.5-max,"","",inworld-tts-15-max,"",,{},61,f,t,0,inactive,f,inworld-tts-1.5-max,0.0000
443,2026-02-11 08:12:30.654772+00,2026-02-11 17:06:28.199326+00,,,sonic-3-2025-10-27,"","",sonic-3-2025-10-27,"",,{},42,f,f,0,active,f,sonic-3-2025-10-27,0.0000
424,2025-12-23 10:18:39.95416+00,2026-02-12 13:09:24.41716+00,,,gemini-3-flash,"","",gemini-3-flash,"",,{},47,t,t,0,active,f,gemini-3-flash,0.0000
426,2025-12-24 07:06:22.692835+00,2026-02-06 13:14:49.383076+00,,,telephony,"","",telephony,"",,{},47,f,f,0,active,f,telephony,0.0000
405,2025-12-23 07:28:07.382279+00,2026-01-28 09:34:31.86936+00,,,gemini-2.5-flash,"","",gemini-25-flash-1,"",,{},47,f,t,0,inactive,f,gemini-2.5-flash,0.0000
435,2026-01-23 11:32:00.917058+00,2026-01-29 10:47:29.578738+00,,,inworld-tts-1.5-mini,"","",inworld-tts-15-mini,"",,{},61,f,t,0,inactive,f,inworld-tts-1.5-mini,0.0000
407,2025-12-23 07:29:55.676165+00,2026-02-03 19:49:25.903627+00,,,gemini-2.5-flash-lite,"","",gemini-25-flash-lite,"",,{},47,t,f,0,active,f,gemini-2.5-flash-lite,0.0000
359,2025-10-25 20:42:19.14251+00,2026-02-03 13:03:50.471624+00,,,global.anthropic.claude-haiku-4-5-20251001-v1:0,"","",anthropic-claude-haiku-4-5-20251001-v1-0,"",250,{},50,t,f,0,active,f,anthropic.claude-haiku-4-5-20251001-v1:0,0.0000
425,2025-12-24 07:05:18.349006+00,2026-01-05 08:13:48.327732+00,,,chirp_2,"","",chirp_2,"",,{},,f,f,0,inactive,f,chirp_2,0.0000
307,2025-07-05 16:26:48+00,2026-01-05 08:13:47.592826+00,,,TTS-1 HD,"","",tts-1-hd,"",,{},,f,f,0,inactive,f,TTS-1 HD,0.0000
